Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')","Cobalt, Co 5.0E-2%, in mixed ore, in ground",['Co'],[2.0524937075555114e-10],2.0524937075555114e-10
"('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","['Mo', 'Cu']","[1.73247674969976e-08, 1.6232211471535735e-08]",3.355697896853334e-08
"('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[3.7284773738548345e-08, 1.517323039294014e-07]",1.8901707766794977e-07
"('ecoinvent-3.4-biosphere', '14946240-b1ee-412c-b900-ed5728a4e684')","Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground",['Ag'],[2.7013994377811083e-13],2.7013994377811083e-13
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","['Cu', 'Mo']","[1.928038472504218e-07, 5.230547521120208e-06]",5.42335136837063e-06
"('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[2.908102350745357e-07, 2.1038198959165387e-06]",2.3946301309910744e-06
"('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[1.9808623483572304e-07, 1.7587120440026805e-06]",1.9567982788384037e-06
"('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')","Uranium, in ground",['U'],[5.512633117298097e-05],5.512633117298097e-05
"('ecoinvent-3.4-biosphere', '2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979')","Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground",['Ag'],[1.8099376233134015e-11],1.8099376233134015e-11
"('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')","Lead, Pb 0.014%, in mixed ore, in ground",['Pb'],[3.094742096873588e-11],3.094742096873588e-11
"('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","['Mo', 'Cu']","[2.836873636877105e-08, 5.229573533195952e-09]",3.3598309901967e-08
"('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[4.524022738590818e-07, 2.265811619350048e-06]",2.71821389320913e-06
"('ecoinvent-3.4-biosphere', '31b4eea9-640e-4056-ac2f-0555627af18a')","Tin, 79% in cassiterite, 0.1% in crude ore, in ground",['Sn'],[5.660679221103922e-10],5.660679221103922e-10
"('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')","Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[4.034047514323352e-12, 1.630225576544844e-11]",2.0336303279771792e-11
"('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",['Zn'],[9.776762509926704e-08],9.776762509926704e-08
"('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')","Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","['Ni', 'Cu']","[4.663439805399289e-13, 1.729027126636841e-12]",2.1953711071767696e-12
"('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')","Lead, Pb 3.6E-1%, in mixed ore, in ground",['Pb'],[2.0658432269626054e-12],2.0658432269626054e-12
"('ecoinvent-3.4-biosphere', '4f5aad55-54d2-4628-a509-b28ef1929bb4')","Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore, in ground",['Ag'],[1.3506997188905568e-12],1.3506997188905568e-12
"('ecoinvent-3.4-biosphere', '4f684798-3870-45a1-b5f2-aa3444c0b8d6')","Copper, Cu 6.8E-1%, in mixed ore, in ground",['Cu'],[3.162098701012731e-10],3.162098701012731e-10
"('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",['Pb'],[2.351145425272681e-08],2.351145425272681e-08
"('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')","Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[1.1770453235798535e-11, 4.796366159100413e-11]",5.973411482680266e-11
"('ecoinvent-3.4-biosphere', '5514ccd2-469f-4074-9905-529154e7f742')","Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground","['Mo', 'Cu']","[3.784353756252213e-09, 1.5722769705809718e-09]",5.356630726833184e-09
"('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')","Copper, Cu 0.38%, in mixed ore, in ground",['Cu'],[3.7538381921894325e-07],3.7538381921894325e-07
"('ecoinvent-3.4-biosphere', '636a8446-9899-43a6-b4bf-213f25d69c88')","Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","['Ni', 'Cu']","[1.0845508993923748e-12, 4.498464515622983e-12]",5.583015415015358e-12
"('ecoinvent-3.4-biosphere', '6f70e7c7-ef61-4489-b4f3-157e7e8541ef')","Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground",['Ag'],[6.483358650674735e-12],6.483358650674735e-12
"('ecoinvent-3.4-biosphere', '7005a356-23d8-4d38-9dbc-fa75401b400e')","Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[3.217945548375062e-13, 1.1451997851750064e-12]",1.4669943400125127e-12
"('ecoinvent-3.4-biosphere', '704399e3-cf6b-483d-84f5-466e91a9d17c')","Copper, Cu 0.2%, in mixed ore, in ground",['Cu'],[3.437096348715659e-11],3.437096348715659e-11
"('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')","Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","['Mo', 'Cu']","[4.5198240780783896e-08, 9.025027598593661e-09]",5.4223268379377555e-08
"('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')","Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","['Cu', 'Ni']","[2.101817005587406e-07, 5.164739383067773e-08]",2.618290943894183e-07
"('ecoinvent-3.4-biosphere', '781dda0c-ffeb-4664-9667-7506ce6269b9')","Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore, in ground",['Ag'],[1.890979606446782e-12],1.890979606446782e-12
"('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')","Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[3.865085225176945e-07, 2.097102750006147e-06]",2.4836112725238416e-06
